iter	Passed	Remaining
592	16655	11431
593	16690	11408
594	16709	11373
595	16727	11339
596	16746	11304
597	16763	11268
598	16782	11234
599	16800	11200
600	16818	11165
601	16835	11130
602	16854	11096
603	16873	11062
604	16890	11027
605	16907	10992
606	16925	10958
607	16942	10923
608	16959	10888
609	16977	10854
610	16995	10820
611	17014	10786
612	17030	10751
613	17049	10718
614	17066	10684
615	17085	10650
616	17104	10617
617	17119	10581
618	17136	10547
619	17155	10514
620	17172	10480
621	17191	10447
622	17206	10412
623	17224	10378
624	17244	10346
625	17303	10337
626	17370	10333
627	17393	10303
628	17426	10278
629	17457	10252
630	17473	10218
631	17492	10185
632	17509	10151
633	17528	10118
634	17546	10085
635	17566	10053
636	17584	10020
637	17601	9987
638	17619	9954
639	17637	9921
640	17655	9887
641	17672	9855
642	17690	9822
643	17710	9790
644	17730	9758
645	17748	9725
646	17765	9693
647	17783	9660
648	17801	9627
649	17819	9595
650	17837	9562
651	17855	9530
652	17870	9496
653	17887	9463
654	17906	9431
655	17924	9399
656	17941	9366
657	17959	9334
658	17977	9302
659	17995	9270
660	18013	9238
661	18034	9207
662	18089	9194
663	18153	9186
664	18174	9155
665	18207	9131
666	18233	9103
667	18252	9071
668	18270	9039
669	18290	9008
670	18306	8975
671	18325	8944
672	18346	8914
673	18364	8882
674	18384	8851
675	18401	8819
676	18418	8787
677	18438	8756
678	18456	8725
679	18475	8694
680	18494	8663
681	18511	8631
682	18530	8600
683	18551	8570
684	18570	8539
685	18589	8508
686	18606	8477
687	18624	8445
688	18642	8414
689	18660	8383
690	18676	8351
691	18695	8321
692	18714	8290
693	18732	8259
694	18750	8228
695	18771	8198
696	18790	8168
697	18809	8138
698	18832	8109
699	18853	8080
700	18871	8049
701	18890	8019
702	18909	7988
703	18929	7959
704	18947	7928
705	18966	7898
706	18984	7867
707	19003	7837
708	19021	7807
709	19039	7776
710	19059	7747
711	19078	7716
712	19096	7687
713	19116	7657
714	19134	7627
715	19153	7597
716	19172	7567
717	19189	7536
718	19209	7507
719	19229	7478
720	19249	7448
721	19269	7419
722	19287	7389
723	19306	7360
724	19327	7331
725	19345	7301
726	19363	7271
727	19381	7241
728	19398	7211
729	19416	7181
730	19435	7152
731	19455	7123
732	19475	7094
733	19498	7066
734	19516	7036
735	19536	7007
736	19555	6978
737	19573	6948
738	19593	6919
739	19611	6890
740	19630	6861
741	19648	6832
742	19668	6803
743	19685	6773
744	19706	6745
745	19725	6716
746	19742	6686
747	19760	6657
748	19777	6627
749	19796	6598
750	19814	6569
751	19832	6540
752	19852	6511
753	19866	6481
754	19884	6452
755	19903	6423
756	19918	6394
757	19936	6364
758	19955	6336
759	19974	6307
760	19992	6278
761	20010	6250
762	20026	6220
763	20044	6191
764	20061	6162
765	20078	6133
766	20095	6104
767	20110	6075
768	20128	6046
769	20146	6017
770	20162	5988
771	20181	5960
772	20199	5931
773	20217	5903
774	20236	5874
775	20254	5846
776	20270	5817
777	20287	5788
778	20303	5759
779	20321	5731
780	20337	5702
781	20354	5674
782	20373	5646
783	20390	5617
784	20407	5589
785	20423	5560
786	20441	5532
787	20459	5504
788	20479	5476
789	20499	5449
790	20517	5421
791	20536	5393
792	20552	5364
793	20568	5336
794	20585	5308
795	20600	5279
796	20617	5251
797	20634	5223
798	20650	5195
799	20670	5167
800	20690	5140
801	20710	5113
802	20728	5085
803	20749	5058
804	20765	5030
805	20785	5002
806	20803	4975
807	20821	4947
808	20838	4919
809	20857	4892
810	20874	4864
811	20891	4837
812	20910	4809
813	20927	4782
814	20946	4754
815	20963	4727
816	20981	4699
817	20999	4672
818	21018	4645
819	21037	4618
820	21054	4590
821	21070	4562
822	21088	4535
823	21105	4507
824	21124	4480
825	21142	4453
826	21160	4426
827	21176	4398
828	21194	4371
829	21212	4344
830	21227	4317
831	21244	4289
832	21262	4262
